Feature,Importance
ROI63_ROI163,0.0002174206921443183
ROI137_ROI175,0.00021727946002218627
ROI100_ROI103,0.0002166224451452084
ROI117_ROI137,0.000216517338900842
ROI119_ROI184,0.00021648253472310455
ROI10_ROI147,0.00021632857187480007
ROI31_ROI71,0.0002161150476243911
ROI75_ROI121,0.00021564734799965046
ROI127_ROI147,0.00021506942547673313
ROI99_ROI123,0.00021470510974670864
ROI50_ROI199,0.00021434574754981256
ROI22_ROI96,0.00021434384830325984
ROI118_ROI161,0.00021393279252064187
ROI50_ROI103,0.00021374146845443278
ROI170_ROI194,0.0002136986721904653
ROI50_ROI196,0.00021336028229971489
ROI50_ROI113,0.0002131558320656066
ROI38_ROI196,0.00021296284784174464
ROI44_ROI65,0.00021282324663401205
ROI18_ROI108,0.00021249420017819165
ROI49_ROI167,0.0002123156598585679
ROI29_ROI185,0.00021227772700306468
ROI17_ROI51,0.00021219715891625666
ROI82_ROI175,0.00021140593346222441
ROI111_ROI166,0.00021082677542654844
ROI56_ROI86,0.00021049941533684698
ROI20_ROI54,0.00021031247473822008
ROI123_ROI189,0.0002100667514590316
ROI175_ROI191,0.00020973520510516715
ROI156_ROI194,0.000209200450433585
ROI71_ROI199,0.00020901497293005094
ROI27_ROI194,0.0002085642666941062
ROI5_ROI81,0.00020819782831837862
ROI45_ROI192,0.00020801646910527144
ROI38_ROI124,0.0002076990854810891
ROI4_ROI51,0.00020765267212995877
ROI4_ROI42,0.00020717199687298403
ROI21_ROI31,0.0002063972084756176
ROI44_ROI87,0.0002061424930747553
ROI44_ROI97,0.00020608177165545486
ROI17_ROI170,0.00020602893115954923
ROI9_ROI172,0.00020522487982860708
ROI36_ROI79,0.00020517485764461066
ROI23_ROI147,0.0002051201768757
ROI97_ROI193,0.00020497214589986528
ROI8_ROI93,0.00020482046605254747
ROI15_ROI169,0.00020461382905549526
ROI147_ROI176,0.00020395624313386906
ROI42_ROI182,0.00020378774853843602
ROI160_ROI186,0.0002036407806888041
ROI38_ROI67,0.0002033882775432781
ROI9_ROI95,0.00020293068005825348
ROI73_ROI159,0.0002027767804757025
ROI13_ROI166,0.0002027283727358689
ROI44_ROI145,0.00020256691213158955
ROI18_ROI103,0.00020191258852052528
ROI48_ROI146,0.00020145497792667893
ROI43_ROI56,0.00020093789751317545
ROI25_ROI174,0.00020079648680075636
ROI119_ROI128,0.0002007687676761616
ROI95_ROI125,0.00020016157090922395
ROI65_ROI77,0.0002001560060182868
ROI150_ROI197,0.00019991375250734658
ROI75_ROI90,0.0001998516189584281
ROI26_ROI172,0.00019977166576945002
ROI96_ROI150,0.00019969650297571912
ROI47_ROI159,0.00019955708235488075
ROI7_ROI76,0.00019945641917153142
ROI2_ROI108,0.00019900825152477473
ROI2_ROI4,0.0001986499742522892
ROI35_ROI123,0.00019861826952511722
ROI100_ROI129,0.00019841289535895627
ROI77_ROI90,0.00019829558276234147
ROI42_ROI123,0.00019814062988651528
ROI68_ROI166,0.00019799845422962268
ROI106_ROI129,0.00019742952203741562
ROI10_ROI31,0.00019730045445388666
ROI95_ROI153,0.00019715339647813566
ROI17_ROI64,0.00019710722246505248
ROI3_ROI197,0.00019707676456732917
ROI108_ROI147,0.0001967112503990619
ROI26_ROI56,0.00019642855541752177
ROI0_ROI40,0.00019619762557950365
ROI123_ROI161,0.0001958405746671107
ROI48_ROI94,0.00019532982023205797
ROI64_ROI144,0.00019532504241857954
ROI31_ROI190,0.00019512710942744336
ROI80_ROI94,0.0001950846793697903
ROI84_ROI151,0.00019506950493533793
ROI105_ROI121,0.0001945732651184221
ROI44_ROI62,0.00019449732764336908
ROI120_ROI191,0.00019430194272019785
ROI71_ROI90,0.00019419934846669906
ROI5_ROI189,0.00019408559482250636
ROI19_ROI38,0.00019379534140945314
ROI51_ROI93,0.00019332631879624744
ROI91_ROI123,0.00019309117589518568
ROI118_ROI151,0.0001928439118629265
ROI31_ROI196,0.00019281668796953456
ROI80_ROI164,0.00019281216769689917
ROI2_ROI50,0.00019272682939686358
ROI5_ROI98,0.0001924129935261537
ROI62_ROI175,0.0001919605345978568
ROI63_ROI177,0.0001918665721170367
ROI18_ROI50,0.00019164762274044027
ROI2_ROI71,0.00019144627127440575
ROI114_ROI123,0.00019113677969871467
ROI75_ROI128,0.00019093767202748514
ROI53_ROI130,0.00019070761705747348
ROI14_ROI54,0.00019065382856589045
ROI48_ROI60,0.0001906387795546943
ROI91_ROI105,0.00019054345160888524
ROI45_ROI108,0.00019047044502946053
ROI2_ROI121,0.0001901072349895809
ROI35_ROI179,0.00018990545665776388
ROI2_ROI103,0.00018977773191999902
ROI135_ROI163,0.00018925760803555026
ROI27_ROI58,0.0001890646780099049
ROI94_ROI172,0.00018895710703894958
ROI19_ROI131,0.00018890971673281548
ROI135_ROI168,0.0001888974441949138
ROI4_ROI17,0.0001887127851254544
ROI57_ROI119,0.00018861218873981726
ROI93_ROI112,0.00018850719364913476
ROI4_ROI197,0.00018831098319152043
ROI21_ROI108,0.00018812669184679128
ROI4_ROI167,0.00018792674585261306
ROI50_ROI180,0.00018746323096261396
ROI38_ROI155,0.00018731469020996893
ROI79_ROI145,0.0001873047292849624
ROI190_ROI193,0.00018726186117444432
ROI24_ROI126,0.00018711982866690302
ROI6_ROI61,0.0001869858934283875
ROI175_ROI195,0.0001869461355157557
